id,title,authors,description,content_url,lab_id,lab_name,published
,Municipal Fiscal Stress and Service Delivery in Declining Cities,Theresa Nguyen|Patricia Lund,"This research examines how fiscal stress affects the delivery of core municipal services in cities experiencing population and economic decline. Analysis of budget and service-level data from 40 northeastern cities finds that fiscal distress disproportionately reduces spending on public health and maintenance rather than administrative functions.",,t9vUjCUDW6O1CUYrrOCd,Urban Policy Analysis Lab,2024-04-02
,Economic Shock Adaptation in Deindustrialized Coastal Communities,Renata Silva|James Owusu,"This study examines how coastal communities in the northeastern United States adapted economically following the collapse of manufacturing and commercial fishing industries. We identify diversification into tourism, small-scale entrepreneurship, and institutional anchoring as key resilience strategies.",,B0FZ37W5xIIRaWZrnVzW,Community Resilience Research Center,2021-09-14
,Social Capital and Disaster Recovery: Lessons from Recent Hurricanes,Renata Silva|Kwame Asante,"This paper investigates the role of bridging and bonding social capital in the speed and equity of community recovery following recent hurricane disasters. Communities with high pre-disaster social capital and active civic organizations recovered critical infrastructure and housing stocks significantly faster.",,B0FZ37W5xIIRaWZrnVzW,Community Resilience Research Center,2023-05-26
,Hybrid Theatre: Audience Engagement in Mixed-Reality Performance,Sophie Archer|Daniel Osei,"This study explores how hybrid theatre productions integrating live performance with real-time mixed-reality environments affect audience engagement and emotional response. Through experimental production and audience surveys, we identify design principles that deepen empathy and presence in co-located and remote participants.",,Fjwg0UoR1aDPamF0eEZK,Performing Arts Innovation Lab,2022-10-08
,Participatory Storytelling and Community Voice in Regional Theater,Sophie Archer|Mei Lin,"This research examines the use of participatory storytelling methodologies in regional theater to amplify marginalized community voices and foster civic dialogue. Case studies from three New England companies demonstrate that devised community-centered productions increase both audience diversity and civic participation.",,Fjwg0UoR1aDPamF0eEZK,Performing Arts Innovation Lab,2023-07-21
,Oral History Methodology and the Preservation of Immigrant Narratives,Ruth Petersen|Carlos Morales,"This paper examines methodological challenges and ethical considerations in collecting oral histories from immigrant communities, with attention to language, power, and informed consent. We propose a community-centered framework that prioritizes narrator agency and long-term archive stewardship.",,VJ6SNcaj4oFf35PPF4vN,Cultural Heritage & Memory Studies Group,2020-12-03
,Public Art Memory and Contested Histories in Urban Space,Ruth Petersen|Amara Diallo,"This research investigates how public art installations in urban spaces engage with contested historical memories and produce new forms of civic meaning-making. Through qualitative analysis of monument debates and participatory art projects, we identify conditions under which public art fosters rather than forecloses historical dialogue.",,VJ6SNcaj4oFf35PPF4vN,Cultural Heritage & Memory Studies Group,2022-04-17
,Digitizing the Past: Archival Access and Cultural Equity,Amara Diallo|Helena Voss,"This study examines how digitization projects in cultural heritage institutions shape access to historical records and who benefits from expanded online availability. We find persistent disparities in digitization investment that replicate rather than redress historical patterns of archival exclusion.",,VJ6SNcaj4oFf35PPF4vN,Cultural Heritage & Memory Studies Group,2024-01-09
,Attention Mechanisms in Medical Image Segmentation,Liang Chen|Priya Mehta,"This paper introduces a novel attention-guided convolutional neural network architecture for semantic segmentation of anatomical structures in medical imaging data. The proposed model achieves state-of-the-art Dice scores on multi-organ segmentation benchmarks while requiring substantially less labeled training data.",,qrdBHxwO1BvK3SGG10Cl,AI & Machine Learning Research Lab,2022-06-30
,Federated Learning for Privacy-Preserving Clinical Prediction Models,Priya Mehta|Victor Russo,"This study develops and evaluates a federated learning framework for training clinical risk prediction models across multiple hospital systems without sharing patient data. The federated approach achieves predictive performance comparable to centralized training while providing formal differential privacy guarantees.",,qrdBHxwO1BvK3SGG10Cl,AI & Machine Learning Research Lab,2023-02-14
,Reward Shaping Strategies in Multi-Agent Reinforcement Learning,Liang Chen|Felix Huang,"This paper investigates the effect of reward shaping on convergence speed and policy quality in cooperative multi-agent reinforcement learning environments. We demonstrate that potential-based shaping with shared value function baselines significantly reduces sample complexity in multi-agent coordination tasks.",,qrdBHxwO1BvK3SGG10Cl,AI & Machine Learning Research Lab,2024-03-28
,Differential Privacy in Distributed Machine Learning Systems,Victor Russo|Aisha Kamara,"This research analyzes the privacy-utility tradeoffs of differential privacy mechanisms applied to gradient aggregation in distributed machine learning pipelines. We propose an adaptive noise calibration scheme that maintains model accuracy while providing strong provable privacy guarantees across heterogeneous data silos.",,gzXRmpgzXbiHxyiGrLCP,Cybersecurity & Privacy Lab,2022-11-05
,Intrusion Detection Using Anomaly-Based Graph Neural Networks,Aisha Kamara|Felix Huang,"This paper presents a graph neural network approach to network intrusion detection that models host-level communication patterns as dynamic graphs and flags anomalous subgraph structures. The system achieves high detection rates for novel attack variants while significantly reducing false positive alerts compared to signature-based approaches.",,gzXRmpgzXbiHxyiGrLCP,Cybersecurity & Privacy Lab,2023-08-19
,Tuition Discount Rates and Net Revenue Sustainability in Private Colleges,Nathaniel Cross|Susan Park,"This study analyzes the relationship between institutional tuition discounting practices and long-run net revenue sustainability in private four-year colleges. Using financial data spanning two decades, we identify discount rate thresholds beyond which institutions face systemic risk of enrollment-driven revenue shortfalls.",,Ax5m4ZYSn9eezivZ63eH,Higher Education Policy Institute,2021-04-22
,First-Generation Student Completion: Institutional Practices and Outcomes,Susan Park|Leon Farber,"This paper evaluates the effectiveness of institutional support programs for first-generation college students on six-year completion rates at a diverse sample of four-year institutions. Findings identify proactive advising, financial aid simplification, and peer mentoring as the highest-impact interventions.",,Ax5m4ZYSn9eezivZ63eH,Higher Education Policy Institute,2022-09-11
,Federal Financial Aid Reform and Access to Selective Institutions,Nathaniel Cross|Angela Reyes,"This research examines how proposed reforms to federal need-based financial aid would affect enrollment of low-income students at selective colleges and universities. Simulation analysis suggests that increasing maximum Pell Grant awards and simplifying FAFSA substantially improves access for the lowest-income applicants.",,Ax5m4ZYSn9eezivZ63eH,Higher Education Policy Institute,2024-02-28
,Predictive Enrollment Modeling Using Integrated CRM and SIS Data,David Kim|Nina Kowalski,"This paper develops a predictive model for undergraduate enrollment yield using integrated customer relationship management and student information system data. Machine learning classifiers trained on communication engagement, campus visit behavior, and academic preparation outperform traditional statistical models for predicting matriculation.",,xZwSRcbB6DubAxDq8JsL,Institutional Data & Analytics Lab,2023-01-15
,Early Alert Systems and Academic Intervention Efficacy,Nina Kowalski|Patricia Lund,"This study evaluates the impact of early alert systems on academic outcomes for at-risk undergraduate students across multiple intervention types. Analysis of administrative data shows that advisor outreach within 48 hours of an alert flag increases course completion rates and reduces stop-out by measurable margins.",,xZwSRcbB6DubAxDq8JsL,Institutional Data & Analytics Lab,2024-05-06
,Student Venture Survival Rates and Mentorship Outcomes,Kwame Asante|Rachel Torres,"This paper investigates the relationship between entrepreneurial mentorship intensity and survival rates of student-founded ventures in university incubator programs. We find that structured mentorship with experienced entrepreneurs significantly increases three-year venture survival and revenue growth compared to peer-only support models.",,ece7soaD6pScWNAYWGNs,Entrepreneurship & Venture Innovation Hub,2021-07-30
,Social Impact Measurement Frameworks for Campus Startups,Rachel Torres|Marcus Webb,"This research evaluates competing frameworks for measuring the social impact of ventures launched through university entrepreneurship programs. We propose an adapted theory-of-change approach that integrates stakeholder-defined outcomes with quantitative performance indicators relevant to campus-based social enterprises.",,ece7soaD6pScWNAYWGNs,Entrepreneurship & Venture Innovation Hub,2022-12-09
,University Technology Transfer and Spin-Off Creation in Small States,Kwame Asante|Nathaniel Cross,"This study examines the determinants of successful university technology transfer and spin-off firm formation in small-state contexts where regional venture capital and industry density are limited. We identify licensing strategy, faculty entrepreneurial intent, and industry partnership strength as primary predictors of commercialization success.",,ece7soaD6pScWNAYWGNs,Entrepreneurship & Venture Innovation Hub,2024-04-14
,Default Effects and Retirement Savings Enrollment in Workplace Plans,James Owusu|Claire Fontaine,"This paper studies the behavioral effects of automatic enrollment defaults on retirement savings participation and contribution rates in workplace defined-contribution plans. We find that opt-out default designs increase participation by over 30 percentage points, with especially large effects among younger and lower-income workers.",,fvqQbvT5USQEAMH1fJnA,Consumer Behavior & Market Design Lab,2022-03-17
,Dynamic Pricing Fairness Perceptions Among E-Commerce Consumers,Claire Fontaine|Oscar Bernstein,"This research investigates how consumers perceive algorithmic dynamic pricing practices in e-commerce environments and the factors that mediate fairness judgments. Experimental and survey findings indicate that transparency about pricing logic and purchase history usage strongly moderate consumer trust and purchase intentions.",,fvqQbvT5USQEAMH1fJnA,Consumer Behavior & Market Design Lab,2023-10-03
,Algorithmic Accountability and Due Process in Automated Decision Systems,Elena Morris|Thomas Wren,"This paper examines the legal and ethical frameworks governing automated decision-making systems used in public administration, criminal justice, and social services. We argue that existing due process protections are inadequate for algorithmic contexts and propose a set of explainability and contestation standards.",,ENNgYAJZyAMk9Mp80kVr,Ethics in Technology Research Group,2022-02-07
,Surveillance Capitalism and the Limits of Consent-Based Data Governance,Elena Morris|Daniel Osei,"This research critically examines whether consent-based data governance regimes can meaningfully constrain surveillance capitalist data extraction and behavioral profiling practices. We argue that structural power asymmetries render informed consent largely fictional and propose alternative regulatory frameworks grounded in fiduciary duty.",,ENNgYAJZyAMk9Mp80kVr,Ethics in Technology Research Group,2023-06-25
,AI Ethics Frameworks: A Comparative Analysis of Corporate and Regulatory Approaches,Thomas Wren|Fatima Al-Hassan,"This paper systematically compares AI ethics frameworks published by major technology corporations with regulatory proposals from the EU, US, and international bodies across dimensions including accountability, transparency, and harm prevention. We identify persistent gaps between voluntary corporate commitments and binding regulatory requirements.",,ENNgYAJZyAMk9Mp80kVr,Ethics in Technology Research Group,2024-01-30
,Epistemic Criteria for Scientific Consensus: Climate Science as a Case Study,Daniel Osei|Ruth Petersen,"This paper examines the philosophical criteria by which scientific communities establish and communicate consensus positions, using climate science as an extended case study. We analyze how expert disagreement at the research frontier is misappropriated in public discourse to manufacture uncertainty about settled findings.",,8wQJolwEFqb7Kcqkzcz4,Philosophy of Science & Knowledge Lab,2021-10-19
,Reproducibility Crisis and the Sociology of Scientific Knowledge,Ruth Petersen|Elena Morris,"This research applies sociological analysis to the ongoing reproducibility crisis in social and biomedical sciences, examining how incentive structures, publication norms, and methodological communities shape replication failure rates. We argue that open science practices must be coupled with structural reforms in academic career evaluation.",,8wQJolwEFqb7Kcqkzcz4,Philosophy of Science & Knowledge Lab,2023-04-08
,Multi-Robot Task Allocation for Search and Rescue in Unstructured Environments,Yuki Tanaka|Ivan Petrov,"This paper presents a decentralized task allocation algorithm for heterogeneous robot teams deployed in search and rescue scenarios within structurally compromised indoor environments. The approach combines auction-based coordination with real-time mapping to optimize survivor detection coverage under communication uncertainty.",,zedpDl0f9FRiiCo6VRsT,Advanced Robotics & Autonomous Systems Lab,2022-05-12
,Sim-to-Real Transfer of Learned Locomotion Policies for Quadrupedal Robots,Ivan Petrov|Liang Chen,"This study investigates techniques for transferring reinforcement learning locomotion policies trained in physics simulation to real quadrupedal robot hardware. Domain randomization over physical parameters combined with an adaptive residual policy layer achieves robust sim-to-real transfer across varied terrain conditions.",,zedpDl0f9FRiiCo6VRsT,Advanced Robotics & Autonomous Systems Lab,2023-09-04
,Drone Swarm Coordination Under Communication Constraints,Yuki Tanaka|Felix Huang,"This paper addresses the problem of coordinating large drone swarms for area coverage tasks when inter-agent communication bandwidth is severely constrained. We develop a distributed consensus protocol based on intermittent gossip communication that achieves near-optimal coverage with minimal message passing.",,zedpDl0f9FRiiCo6VRsT,Advanced Robotics & Autonomous Systems Lab,2024-02-16
,Shape Memory Polymer Composites for Soft Robotic Actuators,Nadia Solberg|Marco Ricci,"This research develops and characterizes novel shape memory polymer composite materials for use as thermally actuated soft robotic end-effectors. The composites exhibit high actuation force-to-weight ratios and programmable shape recovery profiles suitable for adaptive grasping applications.",,KYBHG7fDLFBtU6ANPhwQ,Smart Materials & Sensing Lab,2022-08-01
,Piezoelectric Nanogenerators for Self-Powered Wearable Sensors,Marco Ricci|Priya Mehta,"This paper presents the fabrication and characterization of flexible piezoelectric nanogenerators capable of harvesting mechanical energy from human body motion to power wearable biosensors. The devices achieve sufficient power output for continuous wireless transmission of physiological signals under normal activity conditions.",,KYBHG7fDLFBtU6ANPhwQ,Smart Materials & Sensing Lab,2023-11-22
,Seismic Fragility Assessment of Reinforced Concrete Bridges in the Northeast,Karl Jensen|Mia Ferraro,"This study develops probabilistic seismic fragility curves for reinforced concrete highway bridges in the northeastern United States using incremental dynamic analysis with regionally calibrated ground motion records. Results indicate that a substantial proportion of the bridge inventory exceeds code-intended damage thresholds under moderate seismic scenarios.",,OAJudNaXRF0GT8wqafFw,Structural Engineering & Resilience Lab,2021-06-17
,Post-Hurricane Structural Damage Reconnaissance and Failure Analysis,Mia Ferraro|Samuel Okafor,"This paper reports findings from rapid post-hurricane reconnaissance of structural damage patterns in coastal residential and commercial construction, with emphasis on roof-to-wall connection failures and storm surge loading effects. A systematic failure taxonomy is developed to inform building code improvements for hurricane-prone coastal zones.",,OAJudNaXRF0GT8wqafFw,Structural Engineering & Resilience Lab,2022-10-31
,Sensor-Based Structural Health Monitoring for Aging Bridge Infrastructure,Karl Jensen|Ivan Petrov,"This research presents a wireless sensor network deployment and data analysis framework for continuous structural health monitoring of aging steel and concrete highway bridges. Machine learning anomaly detection applied to acceleration and strain data successfully identified early-stage fatigue cracking in field deployment trials.",,OAJudNaXRF0GT8wqafFw,Structural Engineering & Resilience Lab,2024-03-05
,Life-Cycle Carbon Assessment of Low-Carbon Concrete Alternatives,Mia Ferraro|Nadia Solberg,"This study conducts a comprehensive life-cycle carbon assessment comparing conventional Portland cement concrete with supplementary cementitious material blends including fly ash, slag, and calcined clay. Results demonstrate carbon reduction potential of 30 to 50 percent with optimized blended cement formulations without compromising structural performance.",,p1bRtxImnYHqZbnlMJzM,Sustainable Infrastructure Systems Lab,2023-05-09
,Circular Economy Pathways for End-of-Life Infrastructure Materials,Nadia Solberg|Karl Jensen,"This paper investigates technical and economic pathways for integrating end-of-life infrastructure materials into circular economy supply chains, with a focus on reclaimed concrete aggregate and structural steel. Scenario analysis shows that closed-loop material flows are economically viable at metropolitan scale with appropriate policy incentives.",,p1bRtxImnYHqZbnlMJzM,Sustainable Infrastructure Systems Lab,2024-06-01
,Rapid Iteration Design Methodology for Student Capstone Engineering Projects,Yuki Tanaka|Rachel Torres,"This study evaluates a structured rapid iteration design methodology applied to senior capstone engineering projects, measuring effects on design quality, team performance, and learning outcomes. The methodology integrates weekly prototype testing cycles with user feedback and significantly improved final design scores and student self-reported engineering competency.",,9CvbIgm5DPlNtRXbgSh7,Mechanical Systems Prototyping Lab,2022-01-24
,3D-Printed Lattice Structures for Lightweight Load-Bearing Components,Marco Ricci|Yuki Tanaka,"This paper characterizes the mechanical performance of additively manufactured polymer and metal lattice structures optimized for load-bearing applications through topology optimization. Experimental testing validates finite element predictions and demonstrates specific stiffness values competitive with traditional subtractive manufacturing for complex geometries.",,9CvbIgm5DPlNtRXbgSh7,Mechanical Systems Prototyping Lab,2023-07-13
,Design-Build-Test Cycles in Interdisciplinary Engineering Education,Rachel Torres|Kwame Asante,"This research examines how structured design-build-test project cycles in interdisciplinary engineering courses affect student learning, teamwork competencies, and professional identity formation. Longitudinal assessment data from a three-year cohort study show significant improvements in systems thinking and cross-disciplinary communication skills.",,9CvbIgm5DPlNtRXbgSh7,Mechanical Systems Prototyping Lab,2024-04-27
,Thermal Management Strategies for High-Power Density Electric Vehicle Batteries,Ivan Petrov|Karl Jensen,"This paper investigates active and passive thermal management strategies for maintaining lithium-ion battery pack temperature uniformity in high-power density electric vehicle applications. Comparative analysis of liquid cooling, phase change material, and hybrid approaches reveals significant performance differences under dynamic drive cycle loading.",,PBD71IJ28PyCRrKUaFvO,Applied Thermal & Fluid Engineering Lab,2022-09-19
,Turbulent Heat Transfer Enhancement in Microchannels for Electronics Cooling,Karl Jensen|Marco Ricci,"This study experimentally and numerically investigates turbulence-induced heat transfer enhancement in microchannel heat sinks for high-heat-flux electronics cooling applications. Microfeature patterning on channel walls achieves significant Nusselt number improvements with acceptable pressure drop penalties compared to smooth-wall baselines.",,PBD71IJ28PyCRrKUaFvO,Applied Thermal & Fluid Engineering Lab,2024-01-07
,Place-Based Environmental Education and Ecological Identity in Adolescents,Amara Diallo|Sofia Reyes,"This research examines how place-based environmental education programs affect ecological identity development and pro-environmental behavior intentions among middle and high school students in coastal communities. Students participating in immersive field-based curricula showed significantly stronger place attachment and environmental agency than control groups.",,es1GrZKKbh4hAeDrtgpV,Environmental Education & Outreach Lab,2021-08-15
,Citizen Science and Science Self-Efficacy in Middle School Students,Sofia Reyes|Renata Silva,"This paper evaluates the effects of participation in structured citizen science projects on science self-efficacy, interest, and identity among middle school students from underrepresented groups. Results indicate meaningful gains in science confidence and career interest, particularly for female and first-generation college-aspiring students.",,es1GrZKKbh4hAeDrtgpV,Environmental Education & Outreach Lab,2022-12-01
,Curriculum Development for Climate Literacy in K-12 Coastal Communities,Amara Diallo|Marcus Webb,"This study describes the development, implementation, and evaluation of a K-12 climate literacy curriculum tailored to the lived coastal environments of students in southern New England. Pre-post assessment data demonstrate significant gains in climate systems knowledge and local risk perception across grade levels.",,es1GrZKKbh4hAeDrtgpV,Environmental Education & Outreach Lab,2024-03-18
,Long-Term Monitoring of Biodiversity in Southern New England Forests,Sofia Reyes|Kwame Asante,"This paper reports twenty years of biodiversity monitoring data from permanent forest plots in southern New England, tracking changes in tree species composition, understory diversity, and wildlife community structure. Significant shifts in species assemblages are documented and attributed to climate warming, invasive species pressure, and land use change.",,KmQkK9VBWwN4MocxQuFP,Community Ecology Research Group,2021-11-07
,Invasive Plant Species Distribution and Native Community Displacement,Sofia Reyes|Renata Silva,"This research maps the distribution and expansion trajectories of six major invasive plant species across southern New England using remote sensing and field survey data, assessing impacts on native plant community composition and richness. Results show that invasion hotspots are strongly associated with disturbed edge habitats and road corridors.",,KmQkK9VBWwN4MocxQuFP,Community Ecology Research Group,2023-08-29
,Optimal Sizing of Solar-Plus-Storage Systems for Campus Microgrids,Omar Shaikh|Ingrid Larsen,"This paper presents an optimization framework for sizing solar photovoltaic and battery storage systems in campus microgrid configurations to minimize lifecycle costs while meeting reliability and carbon reduction targets. Results from application to a university campus demonstrate substantial cost savings and resilience benefits compared to conventional grid-tied systems.",,j9z6f5NAphEsRO8sumhi,Renewable Energy Systems Lab,2022-06-06
,Techno-Economic Analysis of Community Wind Projects in Rhode Island,Ingrid Larsen|Victor Russo,"This study evaluates the technical and economic feasibility of community-scale wind energy projects in Rhode Island, incorporating site-specific resource assessment, interconnection costs, and community ownership financing structures. Analysis identifies favorable sites and policy mechanisms that could make community wind economically competitive with utility-scale development.",,j9z6f5NAphEsRO8sumhi,Renewable Energy Systems Lab,2023-02-28
,Grid Stability Impacts of High Renewable Penetration in Small Island Systems,Omar Shaikh|Nadia Solberg,"This research analyzes frequency and voltage stability challenges associated with high penetrations of variable renewable energy in small island electricity systems using power systems simulation. We identify minimum inertia requirements and control strategies for grid-forming inverters that maintain stability at renewable penetrations exceeding 80 percent.",,j9z6f5NAphEsRO8sumhi,Renewable Energy Systems Lab,2024-05-14
,Baseline Carbon Inventory Methodology for University Campuses,Ingrid Larsen|Patricia Lund,"This paper develops and validates a comprehensive greenhouse gas inventory methodology for university campuses that addresses scope 1, 2, and 3 emissions from research operations, commuting, and supply chains not captured in standard higher education protocols. The methodology is applied to establish a verified baseline for a New England research university.",,ulxAI8dvY4BRdqWmiCNI,Campus Sustainability & Carbon Neutrality Lab,2022-03-09
,Behavioral Interventions for Energy Conservation in Residence Halls,Patricia Lund|Marcus Webb,"This study evaluates randomized behavioral interventions including social comparison feedback, commitment devices, and gamification on energy consumption in university residence halls. Social comparison with normative feedback produced the largest and most durable reductions in electricity and heating consumption across all treatment conditions.",,ulxAI8dvY4BRdqWmiCNI,Campus Sustainability & Carbon Neutrality Lab,2023-10-16
,Continuous Flow Synthesis of Pharmaceutical Intermediates Using Microreactors,Anika Petersen|Raj Subramaniam,"This paper reports the development of continuous flow synthesis protocols for key pharmaceutical intermediates using microreactor technology, achieving significant improvements in yield, selectivity, and reaction safety compared to batch processes. Scale-up considerations and economic analysis are provided for three industrially relevant synthetic transformations.",,nywVZnbwf7Y9DpYv8ZRe,Chemical Process Engineering Lab,2021-12-20
,Heterogeneous Catalysis for Selective Hydrogenation of Bio-Derived Feedstocks,Raj Subramaniam|Wei Zhang,"This research develops and characterizes supported metal catalysts for the selective hydrogenation of bio-derived platform chemicals to high-value intermediates under mild process conditions. The relationship between nanoparticle size, support surface chemistry, and selectivity is elucidated through combined experimental and computational characterization.",,nywVZnbwf7Y9DpYv8ZRe,Chemical Process Engineering Lab,2023-04-03
,Process Intensification Strategies for Solvent Recovery in API Manufacturing,Anika Petersen|Omar Shaikh,"This paper investigates process intensification strategies including membrane separation, reactive distillation, and heat integration for improving solvent recovery efficiency in active pharmaceutical ingredient manufacturing. Implementation of the integrated approach reduces solvent consumption by over 60 percent and decreases energy intensity compared to conventional distillation.",,nywVZnbwf7Y9DpYv8ZRe,Chemical Process Engineering Lab,2024-06-19
,Valorization of Fly Ash and Slag as Supplementary Cementitious Materials,Raj Subramaniam|Mia Ferraro,"This study evaluates the mechanical properties, durability performance, and microstructural characteristics of concrete incorporating high-volume fly ash and ground granulated blast furnace slag as cement replacements. Optimized blends achieve equivalent or superior compressive strength and chloride resistance while significantly reducing embodied carbon.",,Jv4mCZeKpulWAp6ubqLh,Industrial Waste Recovery & Valorization Lab,2022-07-25
,Biorefinery Integration for Lignocellulosic Waste Conversion to High-Value Chemicals,Omar Shaikh|Anika Petersen,"This paper presents process design and techno-economic analysis for an integrated biorefinery converting lignocellulosic agricultural waste streams to high-value chemicals including furfural, levulinic acid, and lignin-derived aromatics. The integrated process achieves favorable economics at regional collection scales relevant to northeastern agricultural waste streams.",,Jv4mCZeKpulWAp6ubqLh,Industrial Waste Recovery & Valorization Lab,2024-02-11
,Trans-Inclusive Healthcare Policy: Gaps in State Medicaid Coverage,Lena Graves|Priya Nair,"This study systematically reviews and evaluates state Medicaid coverage policies for gender-affirming healthcare services, identifying gaps in coverage for transgender and nonbinary enrollees across the United States. We document widespread exclusion of surgical care, inconsistent coverage of hormone therapy, and administrative barriers that impede access.",,pRVtA0LLPy9aizrilVzy,Gender & Sexuality Studies Research Lab,2022-05-23
,Feminist Political Economy and Care Work in the Gig Economy,Priya Nair|Angela Reyes,"This research applies feminist political economy frameworks to analyze the gendered dimensions of care work organization in platform-mediated gig economy labor markets. We examine how algorithmic management and contractor classification reproduce and intensify existing care work devaluation and precarity for women workers.",,pRVtA0LLPy9aizrilVzy,Gender & Sexuality Studies Research Lab,2023-01-11
,Media Representation of LGBTQ+ Identities in Prime-Time Television,Lena Graves|Mei Lin,"This paper conducts a content analysis of LGBTQ+ character representation in prime-time broadcast and streaming television from 2015 to 2023, examining visibility, narrative roles, and intersectional identity dimensions. Despite increased overall representation, we find persistent deficits in portrayal of transgender, bisexual, and LGBTQ+ people of color characters.",,pRVtA0LLPy9aizrilVzy,Gender & Sexuality Studies Research Lab,2024-04-06
,Remittances Financial Inclusion and Development in Sending Communities,Carlos Morales|Fatima Al-Hassan,"This study examines how remittance flows affect financial inclusion, local investment, and development outcomes in migrant-sending communities in Central America and the Caribbean. We find that mobile money adoption for remittance receipt significantly increases formal financial sector participation and household business investment.",,h6A21j6p6n9Z69teMoZQ,Migration Diaspora & Global Labor Lab,2021-10-04
,Undocumented Immigrant Labor Rights and Wage Theft in the Service Sector,Fatima Al-Hassan|James Owusu,"This paper investigates the prevalence and determinants of wage theft experienced by undocumented immigrant workers in the service sector, drawing on original survey and interview data. Findings document widespread minimum wage violations, tip theft, and off-the-clock work demands concentrated in food service, domestic work, and construction.",,h6A21j6p6n9Z69teMoZQ,Migration Diaspora & Global Labor Lab,2023-06-30
